ID 	mean_control	mean_IAA	Fold_Changes	logFC	p-value	FDR
AT5G22610	0	0.37	Inf	Inf	1	1
AT5G22620	8.61	13.03	1.513	0.597	0.552	1
AT5G22630	69.97	16.46	0.235	-2.088	3.31E-06	0.000141
AT5G22640	50.44	49.27	0.977	-0.034	0.902	1
AT5G22650	40.24	159.25	3.957	1.985	6.53E-10	6.38E-08
AT5G22660	4.85	4.69	0.968	-0.047	1	1
AT5G22690	4.17	6.82	1.636	0.71	0.669	1
AT5G22700	13.55	12.12	0.894	-0.161	0.871	1
AT5G22720	14.91	9.09	0.61	-0.714	0.646	1
AT5G22730	5.98	9.37	1.567	0.648	0.669	1
AT5G22740	32.95	124.14	3.768	1.914	5.95E-08	3.92E-06
AT5G22750	10.47	13.16	1.257	0.33	0.74	1
AT5G22760	72.83	56.27	0.773	-0.372	0.337	0.913
AT5G22770	86.51	87.9	1.016	0.023	0.952	1
AT5G22780	77.77	89.47	1.15	0.202	0.556	1
AT5G22790	6.8	11.95	1.758	0.814	0.39	0.953
AT5G22794	3.72	6.1	1.642	0.715	0.624	1
AT5G22800	4.35	11.16	2.565	1.359	0.2	0.74
AT5G22820	6.07	8.46	1.394	0.479	0.742	1
AT5G22830	10.33	6.1	0.59	-0.76	0.494	1
AT5G22840	9.06	25.96	2.864	1.518	0.0325	0.253
AT5G22850	36.03	27.17	0.754	-0.407	0.407	0.967
AT5G22860	0.59	3.11	5.277	2.4	0.454	0.999
AT5G22875	1.22	6.95	5.681	2.506	0.144	0.631
AT5G22880	13.23	33.21	2.509	1.327	0.0313	0.246
AT5G22890	13.55	6.57	0.485	-1.044	0.239	0.805
AT5G22920	64.94	36.7	0.565	-0.824	0.04	0.291
AT5G22930	3.13	2.74	0.877	-0.189	1	1
AT5G22940	32.72	5.43	0.166	-2.592	0.000164	0.00431
AT5G22950	27.92	27.26	0.977	-0.034	1	1
AT5G23000	0	0.37	Inf	Inf	1	1
AT5G23010	68.7	10.68	0.155	-2.686	0.00892	0.0989
AT5G23020	273.26	43.62	0.16	-2.647	0.000209	0.00529
AT5G23030	1.81	0.37	0.202	-2.306	0.638	1
AT5G23040	36.25	34.45	0.95	-0.074	0.961	1
AT5G23050	52.02	24.35	0.468	-1.095	0.014	0.139
AT5G23060	0.59	0	0	NA	0.932	1
AT5G23070	1.18	4.02	3.411	1.77	0.475	0.999
AT5G23080	33.31	47.78	1.435	0.521	0.233	0.794
AT5G23090	19.62	22.5	1.147	0.197	0.755	1
AT5G23100	6.66	11.53	1.73	0.791	0.429	0.975
AT5G23110	306.39	357.23	1.166	0.221	0.277	0.851
AT5G23120	2.49	3.53	1.418	0.504	0.865	1
AT5G23130	9.83	14.07	1.431	0.517	0.58	1
AT5G23140	40.65	40.58	0.998	-0.002	1	1
AT5G23150	59.77	61.65	1.031	0.045	0.963	1
AT5G23170	1.18	2.07	1.756	0.812	0.933	1
AT5G23190	21.8	111.72	5.125	2.358	1.75E-09	1.58E-07
AT5G23200	6.07	10.12	1.666	0.737	0.505	1
AT5G23210	22.7	4.46	0.196	-2.349	0.00475	0.0619
AT5G23220	20.89	6.22	0.298	-1.748	0.028	0.227
AT5G23230	1.86	0.43	0.229	-2.126	0.636	1
AT5G23240	4.17	4.15	0.995	-0.007	1	1
AT5G23250	14.18	29.74	2.097	1.068	0.0773	0.447
AT5G23270	0	17.78	Inf	Inf	0.000331	0.00768
AT5G23280	17.72	10.28	0.58	-0.785	0.276	0.849
AT5G23290	12.92	24.86	1.925	0.945	0.154	0.651
AT5G23300	11.37	25.9	2.277	1.187	0.0847	0.469
AT5G23310	3.58	4.39	1.225	0.293	0.974	1
AT5G23320	4.8	2.38	0.495	-1.016	0.559	1
AT5G23330	7.89	8.11	1.028	0.041	1	1
AT5G23340	37.7	34.08	0.904	-0.146	0.805	1
AT5G23350	10.33	10.79	1.045	0.063	0.993	1
AT5G23360	11.96	6.16	0.515	-0.958	0.464	0.999
AT5G23370	7.89	4.33	0.549	-0.866	0.489	1
AT5G23380	20.26	12.51	0.617	-0.696	0.37	0.942
AT5G23390	31.9	19.74	0.619	-0.692	0.218	0.767
AT5G23395	9.06	15.18	1.675	0.744	0.39	0.953
AT5G23400	12.15	3.42	0.281	-1.83	0.0913	0.493
AT5G23405	1.86	2.68	1.444	0.53	0.9	1
AT5G23420	15.27	25.24	1.653	0.725	0.25	0.816
AT5G23430	32.95	37.63	1.142	0.192	0.72	1
AT5G23440	7.34	8.84	1.205	0.268	0.83	1
AT5G23450	88.55	93.26	1.053	0.075	0.78	1
AT5G23460	4.35	0.85	0.196	-2.354	0.271	0.846
AT5G23480	0	1.7	Inf	Inf	0.596	1
AT5G23490	17.81	19.7	1.106	0.145	0.827	1
AT5G23510	11.87	12	1.011	0.015	1	1
AT5G23520	13.01	12.06	0.927	-0.109	0.944	1
AT5G23530	18.44	23.75	1.288	0.365	0.6	1
AT5G23535	11.06	11.16	1.009	0.013	1	1
AT5G23540	82.34	104.01	1.263	0.337	0.295	0.871
AT5G23550	6.66	12.86	1.931	0.949	0.328	0.903
AT5G23570	5.03	11.72	2.329	1.22	0.411	0.968
AT5G23575	68.43	71.87	1.05	0.071	0.888	1
AT5G23580	16.72	10	0.598	-0.742	0.413	0.97
AT5G23590	22.16	29.99	1.353	0.437	0.421	0.97
AT5G23600	24.61	10.5	0.427	-1.229	0.126	0.589
AT5G23610	45.54	53.6	1.177	0.235	0.633	1
AT5G23630	136.23	120.59	0.885	-0.176	0.507	1
AT5G23660	42.19	0.37	0.009	-6.847	1.07E-11	1.36E-09
AT5G23670	76.5	44.12	0.577	-0.794	0.0333	0.257
AT5G23680	1.77	7.25	4.1	2.036	0.216	0.766
AT5G23690	4.35	14.02	3.223	1.688	0.087	0.477
AT5G23700	0	0.73	Inf	Inf	0.906	1
AT5G23710	9.83	20.24	2.058	1.041	0.158	0.661
AT5G23720	33.13	26.92	0.813	-0.299	0.556	1
AT5G23730	3.63	2.86	0.789	-0.342	0.904	1
AT5G23740	138.81	253.63	1.827	0.87	0.000291	0.00691
AT5G23750	3.58	0	0	NA	0.123	0.581
AT5G23760	4.26	2.8	0.658	-0.604	0.77	1
AT5G23780	1.18	0.85	0.722	-0.469	1	1
AT5G23800	3.72	1.89	0.509	-0.974	0.7	1
AT5G23810	6.89	0.43	0.062	-4.017	0.133	0.609
AT5G23820	158.25	96.45	0.61	-0.714	0.00933	0.103
AT5G23830	221.83	178.98	0.807	-0.31	0.177	0.699
AT5G23840	105.36	113.24	1.075	0.104	0.815	1
AT5G23850	3.81	13.47	3.537	1.823	0.076	0.442
AT5G23860	94.12	40.1	0.426	-1.231	0.000583	0.0121
AT5G23870	3.08	2.01	0.652	-0.617	0.846	1
AT5G23880	14.5	39.13	2.698	1.432	0.0116	0.12
AT5G23890	106.13	71.17	0.671	-0.577	0.103	0.528
AT5G23900	48.22	83.24	1.726	0.788	0.0309	0.244
AT5G23910	9.74	33.09	3.396	1.764	0.00614	0.0757
AT5G23920	13.01	7.19	0.553	-0.856	0.361	0.936
AT5G23930	0.59	6.94	11.778	3.558	0.086	0.474
AT5G23940	0	3.23	Inf	Inf	0.242	0.809
AT5G23950	7.25	2.01	0.277	-1.851	0.192	0.727
AT5G23980	1.22	2.13	1.739	0.798	0.927	1
AT5G23990	1.22	1.28	1.043	0.061	1	1
AT5G24000	1.77	2.38	1.344	0.427	1	1
AT5G24010	11.69	10.17	0.87	-0.202	0.841	1
AT5G24020	11.47	19.49	1.7	0.766	0.327	0.903
AT5G24030	60.05	46.41	0.773	-0.372	0.333	0.908
AT5G24040	0.63	1.1	1.733	0.793	0.994	1
AT5G24060	13.05	17.13	1.313	0.392	0.585	1
AT5G24070	1.22	0.85	0.696	-0.524	1	1
AT5G24080	0	0.43	Inf	Inf	1	1
AT5G24090	7.39	14.02	1.898	0.925	0.3	0.877
AT5G24100	16.72	0.79	0.047	-4.4	0.0613	0.384
AT5G24105	5.57	0.37	0.066	-3.927	0.0863	0.474
AT5G24110	0	0.85	Inf	Inf	0.886	1
AT5G24120	14.41	8.54	0.592	-0.756	0.445	0.992
AT5G24140	128.52	49.23	0.383	-1.385	0.000466	0.0101
AT5G24150	0.59	0	0	NA	0.932	1
AT5G24160	1.81	0	0	NA	0.423	0.97
AT5G24165	9.65	4.02	0.416	-1.264	0.251	0.816
AT5G24170	8.11	12.5	1.54	0.623	0.488	1
AT5G24230	17.22	7.07	0.411	-1.284	0.124	0.581
AT5G24240	4.94	1.22	0.247	-2.02	0.289	0.867
AT5G24260	56.87	53.25	0.936	-0.095	0.81	1
AT5G24270	10.47	8.23	0.786	-0.347	0.775	1
AT5G24280	7.93	16.38	2.066	1.047	0.228	0.782
AT5G24290	46	45.69	0.993	-0.01	1	1
AT5G24300	13.46	11.47	0.852	-0.231	0.858	1
AT5G24310	8.57	6.76	0.789	-0.341	0.791	1
AT5G24313	3.72	0.43	0.115	-3.126	0.242	0.809
AT5G24314	7.89	4.02	0.51	-0.972	0.426	0.972
AT5G24318	0.59	0	0	NA	0.932	1
AT5G24320	18.81	40.6	2.159	1.11	0.0362	0.271
AT5G24330	0	4.62	Inf	Inf	0.287	0.864
AT5G24340	12.87	5.43	0.422	-1.246	0.206	0.746
AT5G24350	152.72	147.5	0.966	-0.05	0.882	1
AT5G24352	4.89	5	1.022	0.031	1	1
AT5G24360	33.13	37.35	1.127	0.173	0.839	1
AT5G24380	7.48	22.53	3.013	1.591	0.0532	0.35
AT5G24390	6.25	13.88	2.219	1.15	0.374	0.943
AT5G24400	25.06	30.35	1.211	0.276	0.634	1
AT5G24410	31.81	10.06	0.316	-1.661	0.00873	0.0976
AT5G24430	38.02	22.98	0.604	-0.726	0.169	0.684
AT5G24450	30.63	33.47	1.092	0.128	0.8	1
AT5G24460	7.89	4.99	0.633	-0.661	0.556	1
AT5G24470	19.71	3.53	0.179	-2.479	0.00529	0.0673
AT5G24490	40.65	26.71	0.657	-0.606	0.25	0.816
AT5G24500	10.97	14.62	1.333	0.415	0.649	1
AT5G24510	1.22	0	0	NA	0.634	1
AT5G24520	13.01	23.51	1.808	0.854	0.206	0.746
AT5G24530	36.25	29.67	0.818	-0.289	0.581	1
AT5G24580	19.58	19.99	1.021	0.03	1	1
AT5G24590	35.3	30.67	0.869	-0.203	0.721	1
AT5G24600	1.86	2.74	1.476	0.562	0.897	1
AT5G24610	42.37	41.02	0.968	-0.047	0.979	1
AT5G24620	29.91	23.1	0.772	-0.373	0.519	1
AT5G24630	5.48	5.43	0.99	-0.015	1	1
AT5G24640	0	0.43	Inf	Inf	1	1
AT5G24650	26.56	30.09	1.133	0.18	0.856	1
AT5G24655	0	0.43	Inf	Inf	1	1
AT5G24660	0	0.43	Inf	Inf	1	1
AT5G24670	25.92	25.9	0.999	-0.001	1	1
AT5G24680	3.58	2.99	0.835	-0.259	0.988	1
AT5G24690	84.65	83.31	0.984	-0.023	0.957	1
AT5G24710	149.14	142.93	0.958	-0.061	0.871	1
AT5G24740	82.57	111.14	1.346	0.429	0.159	0.662
AT5G24750	3.67	4.69	1.279	0.355	0.895	1
AT5G24760	14.59	4.75	0.326	-1.618	0.0811	0.457
AT5G24770	1.22	0.43	0.348	-1.524	0.857	1
AT5G24780	2.54	2.44	0.96	-0.059	1	1
AT5G24800	63.99	49.28	0.77	-0.377	0.311	0.883
AT5G24810	49.49	39.66	0.801	-0.319	0.453	0.998
AT5G24830	16.63	8.23	0.495	-1.015	0.223	0.775
AT5G24840	9.7	18.39	1.897	0.924	0.256	0.825
AT5G24850	34.03	20.72	0.609	-0.716	0.186	0.715
AT5G24870	20.21	37.17	1.839	0.879	0.103	0.528
AT5G24880	14.46	2.68	0.186	-2.429	0.311	0.883
AT5G24890	49.85	42.39	0.85	-0.234	0.549	1
AT5G24900	0.63	0	0	NA	0.932	1
AT5G24910	9.88	2.86	0.29	-1.788	0.13	0.6
AT5G24930	28.5	8.35	0.293	-1.772	0.00722	0.0853
AT5G24950	0.63	1.1	1.733	0.793	0.994	1
AT5G24960	0.63	1.89	2.982	1.576	0.735	1
AT5G24970	8.61	9.39	1.09	0.125	0.949	1
AT5G24980	4.31	7	1.626	0.701	0.658	1
AT5G24990	6.03	3.66	0.608	-0.718	0.708	1
AT5G25010	4.26	1.53	0.358	-1.482	0.476	0.999
AT5G25020	4.76	2.57	0.539	-0.891	0.728	1
AT5G25040	4.21	4.5	1.069	0.096	1	1
AT5G25050	23.84	48.11	2.018	1.013	0.0457	0.316
AT5G25060	73.64	81.7	1.109	0.15	0.673	1
AT5G25070	66.48	55.53	0.835	-0.26	0.504	1
AT5G25080	12.19	18.89	1.55	0.632	0.404	0.964
AT5G25090	2.45	8.83	3.609	1.851	0.179	0.702
AT5G25100	119.37	83.53	0.7	-0.515	0.187	0.717
AT5G25110	10.56	7.13	0.675	-0.567	0.608	1
AT5G25120	5.39	1.47	0.272	-1.879	0.301	0.877
AT5G25130	3.08	0	0	NA	0.182	0.708
AT5G25140	3.08	2.01	0.652	-0.617	0.846	1
AT5G25150	27.37	15.47	0.565	-0.823	0.17	0.685
AT5G25160	11.01	10.17	0.923	-0.115	0.919	1
AT5G25170	8.43	6.34	0.752	-0.412	0.725	1
AT5G25190	0.59	0.37	0.622	-0.685	1	1
AT5G25200	0.59	0	0	NA	0.932	1
AT5G25210	6.66	8.29	1.244	0.315	0.845	1
AT5G25220	16.99	8.95	0.527	-0.925	0.22	0.772
AT5G25230	42.1	79.9	1.898	0.924	0.0136	0.136
AT5G25250	0	2.13	Inf	Inf	0.542	1
AT5G25260	0	0.85	Inf	Inf	0.886	1
AT5G25265	70.88	43.46	0.613	-0.706	0.0668	0.406
AT5G25270	67.89	54.91	0.809	-0.306	0.426	0.972
AT5G25280	102.46	44.52	0.435	-1.203	0.000393	0.00884
AT5G25310	0	0.43	Inf	Inf	1	1
AT5G25350	117.1	170.52	1.456	0.542	0.11	0.55
AT5G25360	16.5	13.96	0.846	-0.241	0.799	1
AT5G25370	1.9	1.83	0.963	-0.055	1	1
AT5G25380	0	2.99	Inf	Inf	0.262	0.833
AT5G25400	2.49	0.79	0.318	-1.654	0.625	1
AT5G25440	7.43	6.22	0.837	-0.257	0.913	1
AT5G25450	1.9	2.8	1.472	0.558	0.892	1
AT5G25460	36.16	82.82	2.29	1.196	0.00212	0.0334
AT5G25475	2.45	10.06	4.111	2.04	0.109	0.546
AT5G25480	4.31	7.44	1.727	0.788	0.558	1
AT5G25490	0.59	0	0	NA	0.932	1
AT5G25500	1.22	11.38	9.304	3.218	0.0343	0.262
AT5G25510	27.46	29.73	1.083	0.115	0.88	1
AT5G25520	67.61	84.66	1.252	0.324	0.343	0.917
AT5G25540	44.09	35.41	0.803	-0.317	0.503	1
AT5G25560	79.53	68.61	0.863	-0.213	0.627	1
AT5G25570	1.22	2.32	1.894	0.921	0.827	1
AT5G25580	2.54	7.25	2.856	1.514	0.299	0.876
AT5G25590	9.74	31.26	3.208	1.682	0.0105	0.112
AT5G25610	1.81	3.17	1.748	0.806	0.801	1
AT5G25620	9.61	2.62	0.273	-1.872	0.175	0.695
AT5G25630	16.68	10.79	0.647	-0.628	0.465	0.999
AT5G25640	0.59	0.43	0.722	-0.469	1	1
AT5G25752	8.02	3.9	0.486	-1.04	0.426	0.972
AT5G25754	137.31	211.07	1.537	0.62	0.0129	0.13
AT5G25757	137.22	211.5	1.541	0.624	0.0122	0.125
AT5G25760	9.2	7.13	0.775	-0.368	0.765	1
AT5G25770	68.11	45.27	0.665	-0.589	0.122	0.581
AT5G25780	86.01	212.1	2.466	1.302	1.38E-06	6.67E-05
AT5G25790	3.08	2.07	0.671	-0.575	0.847	1
AT5G25800	9.2	7.8	0.848	-0.238	0.883	1
AT5G25810	52.89	1.95	0.037	-4.761	9.81E-12	1.27E-09
AT5G25820	36.8	40.22	1.093	0.128	0.8	1
AT5G25830	26.42	9.81	0.371	-1.429	0.0341	0.261
AT5G25840	1.18	0.43	0.361	-1.469	0.856	1
AT5G25880	2.49	2.68	1.077	0.107	1	1
AT5G25890	83.93	36.43	0.434	-1.204	0.00127	0.0222
AT5G25900	19.58	23.4	1.195	0.257	0.714	1
AT5G25910	2.95	2.32	0.787	-0.346	0.948	1
AT5G25930	36.66	32.06	0.875	-0.193	0.726	1
AT5G25940	14.18	9.74	0.687	-0.542	0.518	1
AT5G25980	0.59	0	0	NA	0.932	1
AT5G26010	14.64	7.32	0.5	-1	0.265	0.838
AT5G26030	61.95	78.18	1.262	0.336	0.365	0.939
AT5G26040	0.63	1.22	1.919	0.941	0.985	1
AT5G26110	6.16	18.66	3.027	1.598	0.0553	0.359
AT5G26140	0	0.37	Inf	Inf	1	1
AT5G26160	15.82	18.7	1.182	0.242	0.786	1
AT5G26180	2.45	18.95	7.744	2.953	0.0036	0.0504
AT5G26200	1.27	0	0	NA	0.63	1
AT5G26210	34.67	36.99	1.067	0.094	0.887	1
AT5G26230	0.59	0	0	NA	0.932	1
AT5G26240	26.51	24.13	0.91	-0.136	0.818	1
AT5G26250	0.59	0	0	NA	0.932	1
AT5G26260	1256.47	743.91	0.592	-0.756	0.00153	0.0257
AT5G26270	20.8	21.44	1.031	0.044	1	1
AT5G26280	2675.08	1768.35	0.661	-0.597	0.0478	0.327
AT5G26290	174.61	101.18	0.579	-0.787	0.00369	0.0514
AT5G26300	366.75	235.16	0.641	-0.641	0.006	0.0745
AT5G26310	26.87	12.26	0.456	-1.132	0.0855	0.473
AT5G26320	159.47	78.25	0.491	-1.027	0.0172	0.161
AT5G26330	3.53	0.79	0.224	-2.158	0.535	1
AT5G26340	7.12	20.91	2.939	1.555	0.0834	0.464
AT5G26360	153.54	222.88	1.452	0.538	0.0253	0.212
AT5G26570	27.37	39.57	1.446	0.532	0.278	0.852
AT5G26600	67.34	33.03	0.49	-1.028	0.0115	0.12
AT5G26610	30.36	14.93	0.492	-1.024	0.0816	0.459
AT5G26622	5.53	1.83	0.331	-1.593	0.38	0.943
AT5G26660	10.51	0.37	0.035	-4.842	0.00461	0.0604
AT5G26667	33.31	26.81	0.805	-0.313	0.581	1
AT5G26670	3.08	5.06	1.642	0.715	0.693	1
AT5G26680	6.21	17.54	2.826	1.499	0.0823	0.461
AT5G26690	0	1.1	Inf	Inf	0.75	1
AT5G26710	48.17	112.4	2.333	1.222	0.000268	0.00648
AT5G26720	0.59	0.43	0.722	-0.469	1	1
AT5G26730	4.8	1.16	0.241	-2.052	0.291	0.868
AT5G26731	1.22	3.05	2.493	1.318	0.639	1
AT5G26740	117.64	58.81	0.5	-1	0.00162	0.027
AT5G26742	63.81	77.79	1.219	0.286	0.411	0.969
AT5G26749	0.63	0.79	1.248	0.32	1	1
AT5G26751	44.86	75.46	1.682	0.75	0.185	0.714
AT5G26760	21.8	28.22	1.295	0.372	0.543	1
AT5G26770	13.41	28.08	2.093	1.066	0.102	0.526
AT5G26780	47.99	39.25	0.818	-0.29	0.506	1
AT5G26790	0	1.28	Inf	Inf	0.716	1
AT5G26800	10.97	22.32	2.035	1.025	0.141	0.626
AT5G26820	21.34	10.59	0.496	-1.011	0.138	0.618
AT5G26830	82.89	103.17	1.245	0.316	0.455	0.999
AT5G26850	41.15	59.27	1.441	0.527	0.203	0.744
AT5G26860	23.38	91.41	3.909	1.967	1.74E-06	8.18E-05
AT5G26880	21.8	18.7	0.858	-0.221	0.722	1
AT5G26910	34.26	17.44	0.509	-0.974	0.0863	0.474
AT5G26920	1.22	10.85	8.87	3.149	0.0271	0.222
AT5G26930	0.59	7.45	12.642	3.66	0.257	0.826
AT5G26940	10.88	15.91	1.463	0.549	0.509	1
AT5G26960	5.53	4.81	0.87	-0.2	0.951	1
AT5G26980	6.03	8.46	1.404	0.49	0.744	1
AT5G26990	21.98	15.6	0.71	-0.494	0.473	0.999
AT5G27000	29.32	50.21	1.712	0.776	0.0921	0.496
AT5G27030	12.82	36.77	2.867	1.519	0.00892	0.0989
AT5G27050	0	1.47	Inf	Inf	0.614	1
AT5G27060	1.86	1.16	0.624	-0.681	0.949	1
AT5G27100	16.45	8.29	0.504	-0.989	0.223	0.775
AT5G27110	1.77	8.04	4.548	2.185	0.162	0.669
AT5G27120	41.19	218.57	5.306	2.408	1.06E-15	2.10E-13
AT5G27140	3.67	8.42	2.293	1.197	0.339	0.913
AT5G27150	85.38	48.37	0.567	-0.82	0.0193	0.174
AT5G27200	0	0.37	Inf	Inf	1	1
AT5G27210	3.67	6.09	1.659	0.73	0.673	1
AT5G27220	0	0.43	Inf	Inf	1	1
AT5G27230	1.22	4.52	3.691	1.884	0.369	0.942
AT5G27240	15.32	20.65	1.348	0.431	0.552	1
AT5G27270	15.23	12.31	0.808	-0.307	0.709	1
AT5G27280	3.76	3.23	0.858	-0.221	1	1
AT5G27300	2.4	6.58	2.742	1.455	0.355	0.931
AT5G27310	0	1.1	Inf	Inf	0.75	1
AT5G27320	28.1	11.53	0.41	-1.285	0.0483	0.33
AT5G27330	19.49	75.46	3.872	1.953	9.58E-06	0.000361
AT5G27350	60.59	54.3	0.896	-0.158	0.703	1
AT5G27360	2.49	1.1	0.441	-1.181	0.764	1
AT5G27380	77.04	37.3	0.484	-1.047	0.00635	0.0771
AT5G27390	1.86	1.95	1.05	0.07	1	1
AT5G27395	7.16	16.09	2.247	1.168	0.192	0.727
AT5G27400	1.9	4.27	2.242	1.165	0.559	1
AT5G27410	46.04	26.36	0.573	-0.804	0.0965	0.511
AT5G27420	25.2	22.8	0.905	-0.144	0.883	1
AT5G27430	19.67	16.85	0.857	-0.223	0.909	1
AT5G27440	0	0.43	Inf	Inf	1	1
AT5G27450	60.32	22	0.365	-1.455	0.00136	0.0234
AT5G27460	4.98	10.59	2.125	1.087	0.374	0.943
AT5G27470	56.06	85.15	1.519	0.603	0.0749	0.438
AT5G27490	10.24	3.17	0.309	-1.693	0.135	0.613
AT5G27520	22.52	22.78	1.011	0.016	1	1
AT5G27540	36.71	59.59	1.623	0.699	0.0947	0.505
AT5G27550	15.14	29.92	1.977	0.983	0.111	0.552
AT5G27560	3.58	2.68	0.75	-0.416	0.898	1
AT5G27570	0	1.22	Inf	Inf	0.727	1
AT5G27580	0	1.47	Inf	Inf	0.614	1
AT5G27600	16.41	29.5	1.798	0.846	0.164	0.672
AT5G27610	12.96	12.07	0.931	-0.103	0.985	1
AT5G27620	2.36	7.36	3.125	1.644	0.359	0.935
AT5G27630	0.59	1.16	1.966	0.976	0.993	1
AT5G27640	121.77	259.32	2.13	1.091	8.21E-06	0.000316
AT5G27650	38.25	28.75	0.752	-0.412	0.377	0.943
AT5G27660	110.67	101.21	0.915	-0.129	0.642	1
AT5G27670	23.84	24.68	1.036	0.05	0.963	1
AT5G27680	4.8	17.98	3.743	1.904	0.0363	0.271
AT5G27690	8.84	6.27	0.709	-0.496	0.832	1
AT5G27700	83.52	100.19	1.2	0.263	0.41	0.968
AT5G27710	10.56	4.81	0.456	-1.134	0.295	0.871
AT5G27720	31.99	40.71	1.273	0.348	0.494	1
AT5G27730	7.3	1.22	0.167	-2.583	0.0965	0.511
AT5G27740	17.81	21.89	1.229	0.298	0.626	1
AT5G27750	4.89	7.51	1.534	0.617	0.659	1
AT5G27760	12.78	18.45	1.444	0.53	0.513	1
AT5G27770	184.26	274.12	1.488	0.573	0.0122	0.125
AT5G27780	0	1.16	Inf	Inf	0.738	1
AT5G27790	0	0.43	Inf	Inf	1	1
AT5G27820	11.06	17.25	1.56	0.641	0.409	0.967
AT5G27830	6.71	7.07	1.054	0.076	1	1
AT5G27840	52.07	39.77	0.764	-0.389	0.339	0.913
AT5G27850	249.52	361.93	1.45	0.537	0.00989	0.107
AT5G27860	22.57	23.54	1.043	0.061	0.93	1
AT5G27920	88.78	41.71	0.47	-1.09	0.0032	0.0456
AT5G27930	28.55	36.66	1.284	0.361	0.581	1
AT5G27940	0	1.64	Inf	Inf	0.583	1
AT5G27950	43.91	32.77	0.746	-0.422	0.34	0.914
AT5G27970	59.32	64.51	1.088	0.121	0.789	1
AT5G27990	10.38	17.19	1.656	0.728	0.357	0.934
AT5G28010	0.59	0	0	NA	0.932	1
AT5G28020	31.68	7.01	0.221	-2.176	0.00111	0.0201
AT5G28040	25.47	29.97	1.177	0.235	0.734	1
AT5G28050	184.62	115.56	0.626	-0.676	0.00893	0.0989
AT5G28060	174.93	216.02	1.235	0.304	0.23	0.786
AT5G28080	12.92	1.89	0.146	-2.771	0.0183	0.168
AT5G28090	0.59	0	0	NA	0.932	1
AT5G28150	5.48	9.82	1.792	0.841	0.492	1
AT5G28220	11.01	6.03	0.547	-0.869	0.384	0.946
AT5G28237	0.59	0	0	NA	0.932	1
AT5G28290	7.43	11.03	1.484	0.57	0.574	1
AT5G28300	9.2	4.81	0.523	-0.935	0.409	0.967
AT5G28320	71.96	61.6	0.856	-0.224	0.529	1
AT5G28340	4.35	6.64	1.527	0.611	0.669	1
AT5G28350	105.18	79.93	0.76	-0.396	0.264	0.838
AT5G28370	12.33	45.04	3.654	1.87	0.000727	0.0145
AT5G28380	3.08	1.7	0.552	-0.856	0.732	1
AT5G28390	13.46	10.43	0.775	-0.368	0.716	1
AT5G28400	76.95	61.85	0.804	-0.315	0.373	0.943
AT5G28442	14.46	12.01	0.831	-0.267	0.767	1
AT5G28450	1.86	0	0	NA	0.42	0.97
AT5G28460	13.5	46.93	3.475	1.797	0.000833	0.016
AT5G28500	5.35	0.79	0.148	-2.755	0.294	0.871
AT5G28510	61	46.44	0.761	-0.393	0.319	0.892
AT5G28520	0.63	0.37	0.578	-0.792	1	1
AT5G28530	8.43	6.09	0.722	-0.469	0.664	1
AT5G28540	650.08	851.82	1.31	0.39	0.0511	0.342
AT5G28610	0.63	1.89	2.982	1.576	0.735	1
AT5G28630	1.27	1.53	1.202	0.265	1	1
AT5G28640	19.53	18.05	0.924	-0.114	0.94	1
AT5G28646	0	0.37	Inf	Inf	1	1
AT5G28650	0	2.01	Inf	Inf	0.474	0.999
AT5G28660	0	0.79	Inf	Inf	0.896	1
AT5G28740	80.98	122.69	1.515	0.599	0.0543	0.354
AT5G28750	5.48	6.83	1.246	0.317	0.832	1
AT5G28770	57.6	59.45	1.032	0.046	0.885	1
AT5G28830	10.24	10.66	1.041	0.058	1	1
AT5G28840	65.35	57.45	0.879	-0.186	0.644	1
AT5G28850	54.61	61.02	1.117	0.16	0.762	1
AT5G28900	55.24	57.38	1.039	0.055	0.927	1
AT5G28910	1.18	0.73	0.622	-0.685	1	1
AT5G28919	10.97	15.13	1.38	0.464	0.648	1
AT5G28920	2.99	5.91	1.976	0.983	0.565	1
AT5G28960	1.18	0.43	0.361	-1.469	0.856	1
AT5G29000	16.99	17.85	1.05	0.071	0.992	1
AT5G29624	0	0.85	Inf	Inf	0.886	1
AT5G30490	14.05	11.75	0.836	-0.258	0.751	1
AT5G30495	6.12	9.15	1.496	0.581	0.599	1
AT5G30510	38.66	41.26	1.067	0.094	0.847	1
AT5G32440	54.56	61.45	1.126	0.172	0.63	1
AT5G32450	20.26	23.83	1.177	0.235	0.708	1
AT5G32470	24.47	16.88	0.69	-0.536	0.405	0.965
AT5G33210	1.9	3.11	1.634	0.708	0.8	1
AT5G33280	11.69	7.42	0.635	-0.655	0.474	0.999
AT5G33290	11.6	9.32	0.803	-0.317	0.733	1
AT5G33300	7.84	13.71	1.749	0.807	0.39	0.953
AT5G33320	24.34	26.87	1.104	0.143	0.85	1
AT5G33355	159.97	143.01	0.894	-0.162	0.585	1
AT5G33406	0	1.28	Inf	Inf	0.716	1
AT5G34780	5.03	6.34	1.26	0.333	0.839	1
AT5G34850	253.82	184.65	0.727	-0.459	0.0407	0.294
AT5G34930	21.48	13.41	0.624	-0.68	0.328	0.903
AT5G34940	15.09	44.19	2.928	1.55	0.00429	0.057
